name,highSchool,town,state,weightClass,placement,year
"Spencer Lee","Franklin Regional High School",Murrysville,Pennsylvania,125,1,2018
"Jack Mueller","Trinity Christian Academy",Dallas,Texas,125,2,2018
"Sebastian Rivera","Christian Brothers Academy","Toms River","New Jersey",125,3,2018
"Vitali Arujau","Syosset High School",Syosset,"New York",125,4,2018
"Nicholas Piccininni","Ward Melville High School","East Setauket","New York",125,5,2018
"Pat Glory","Delbarton High School",Randolph,"New Jersey",125,6,2018
"RayVon Foley","Pioneer High School","Ann Arbor",Michigan,125,7,2018
"Ronnie Bresser","Henley High School","Klamath Falls",Oregon,125,8,2018
"Nick Suriano","Bergen Catholic High School",Paramus,"New Jersey",133,1,2018
"Daton Fix","Charles Page High School","Sand Springs",Oklahoma,133,2,2018
"Stevan Micic","Hanover Central High School","Cedar Lake",Indiana,133,3,2018
"Luke Pletcher","Greater Latrobe High School",Latrobe,Pennsylvania,133,4,2018
"Austin DeSanto","Exeter High School",Exeter,Pennsylvania,133,5,2018
"John Erneste","Park Hill High School","Kansas City",Missouri,133,6,2018
"Ethan Lizak","Parkland High School",Schnecksville,Pennsylvania,133,7,2018
"Roman Bravo-Young","Sunnyside High School",Tucson,Arizona,133,8,2018
"Yianni Diakomihalis","Hilton High School",Rochester,"New York",141,1,2018
"Joey McKenna","Blair Academy",Towaco,"New Jersey",141,2,2018
"Jaydin Eierman","Father Tolton High School",Columbia,Missouri,141,3,2018
"Dom Demas","Dublin Coffman High School",Columbus,Ohio,141,4,2018
"Nick Lee","Mater Dei High School",Evansville,Indiana,141,5,2018
"Mitch McKee","St. Michael-Albertville High School","St. Michael",Minnesota,141,6,2018
"Kyle Shoop","Boiling Springs High School","Boiling Springs",Pennsylvania,141,7,2018
"Chad Red","New Palestine High School",Indianapolis,Indiana,141,8,2018
"Anthony Ashnault","South Plainfield High School","South Plainfield","New Jersey",149,1,2018
"Micah Jordan","St. Paris Graham High School","St. Paris",Ohio,149,2,2018
"Austin O`Connor","St. Rita of Cascia High School",Lockport,Illinios,149,3,2018
"Mitch Finesilver","Cherry Creek High School","Greenwood Village",Colorado,149,4,2018
"Matthew Kolodzik","Blair Academy",Bellbrook,Ohio,149,5,2018
"Brock Maulle","Father Tolton High School",Columbia,Missouri,149,6,2018
"Jarrett Degen","Belgrade High School",Belgrade,Montana,149,7,2018
"Pat Lugo","South Dade High School",Homestead,Florida,149,8,2018
"Jason Nolf","Kittanning High School",Yateboro,Pennsylvania,157,1,2018
"Tyler Berger","Crook County High School",Prineville,Oregon,157,2,2018
"Alec Pantaleo","Canton High School",Canton,Michigan,157,3,2018
"Hayden Hidlay","Mifflin Conty High School",Lewistown,Pennsylvania,157,4,2018
"Kaleb Young","Punxsutawney High School",Punxsutawney,Pennsylvania,157,5,2018
"Ryan Deakin","Legacy High School",Broomfield,Colorado,157,6,2018
"Christian Pagdilao","Santiago High School",Redlands,California,157,7,2018
"Larry Early","Oak Park-River Forest High School","Oak Park",Illinios,157,8,2018
"Mekhi Lewis","Bound Brook High School",Somerset,"New Jersey",165,1,2018
"Vincenzo Joseph","Pittsburgh Central Catholic High School",Pittsburgh,Pennsylvania,165,2,2018
"Chance Marsteller","Kennard-Dale High School","New Park",Pennsylvania,165,3,2018
"Evan Wick","San Marino High School",Murrieta,California,165,4,2018
"Isaiah White","Oak Park and River Forest High School",Chicago,Illinios,165,5,2018
"Joshua Shields","Franklin Region High Schoo;",Murrysville,Pennsylvania,165,6,2018
"Alex Marinelli","St. Paris Graham High School",Miamisburg,Ohio,165,7,2018
"Bryce Steiert","Waverly-Shell Rock High School",Waverly,Iowa,165,8,2018
"Zahid Valencia","St. John Bosco High School",Bellflower,California,174,1,2018
"Mark Hall","Apple Valley High School","Apple Valley",Minnesota,174,2,2018
"Myles Amine","Detroit Catholic Central High School",Brighton,Michigan,174,3,2018
"Daniel Lewis","Blue Springs High School","Blue Springs",Missouri,174,4,2018
"David McFadden","DePaul High School","West Milford","New Jersey",174,5,2018
"Mikey Labriola","Bethlehem Catholic High School",Easton,Pennsylvania,174,6,2018
"Jordan Kutler","Blair Academy",Sparta,"New Jersey",174,7,2018
"Devin Skatzka","Richmond High School",Richmond,Michigan,174,8,2018
"Drew Foster","Mediapolis High School",Burlington,Iowa,184,1,2018
"Maxwell Dean","Lowell High School",Lowell,Michigan,184,2,2018
"Myles Martin","McDonogh School","Penns Grove","New Jersey",184,3,2018
"Ryan Preisch","Milton Area High School","New Columbia",Pennsylvania,184,4,2018
"Emery Parker","Warren Township High School",Wadsworth,Illinios,184,5,2018
"Chip Ness","Buford High School",Duluth,Georgia,184,6,2018
"Dakota Geer","Franklin Area High School",Franklin,Pennsylvania,184,7,2018
"Zachary Zavatsky","Greater Latrobe High School",Latrobe,Pennsylvania,184,8,2018
"Bo Nickal","Allen High School",Allen,Texas,197,1,2018
"Kollin Moore","Norwayne High School",Burbank,Ohio,197,2,2018
"Preston Weigel","Hays High School",Russell,Kansas,197,3,2018
"Patrick Brucki","Carl Sandburg High School","Orland Park",Illinios,197,4,2018
"Josh Hokit","Clovis High School",Clovis,California,197,5,2018
"William Miklus","Southeast Polk High School",Altoona,Iowa,197,6,2018
"Jacob Warner","Washington Community High School",Tolono,Illinios,197,7,2018
"Benjamin Honis","Jamesville-Dewitt High School",Syracruse,"New York",197,8,2018
"Anthony Cassar","Montgomery High School","Rocky Hill","New Jersey",285,1,2018
"Derek White","Edmond North High School",Edmond,Oklahoma,285,2,2018
"Gable Steveson","Apple Valley High School","Apple Valley",Minnesota,285,3,2018
"Jordan Wood","Boyertown High School",Gilbertsville,Pennsylvania,285,4,2018
"Amar Dhesi","Burnaby Central High School",Surrey,Canada,285,5,2018
"Youssif Hemida","Mamaroneck High School",Mamaroneck,"New York",285,6,2018
"Matt Stencel","Clay High School",Oregon,Ohio,285,7,2018
"Trent Hillger","Lake Fenton High School",Holly,Michigan,285,8,2018
