name,highSchool,town,state,weightClass,placement,year
"Nick Suriano","Bergen Catholic High School",Paramus,"New Jersey",125,1,2021
"Pat Glory","Delbarton School",Randolph,"New Jersey",125,2,2021
"Vito Arujau","Syosett High School",Syosett,"New York",125,3,2021
"Michael DeAugustino","Flagler Palm Coast High School","Palm Coast",Florida,125,4,2021
"Patrick McKee","St. Michael-Albertville High School","St. Michael",Minnesota,125,5,2021
"Brandon Courtney","Desert Edge High School",Goodyear,Arizona,125,6,2021
"Eric Barnett","Hortonville High School",Greenville,Wisconsin,125,7,2021
"Brandon Kaylor","Bonney Lake High School","Bonney Lake",Washington,125,8,2021
"Roman Bravo-Young","Sunnyside High School",Tucson,Arizona,133,1,2021
"Daton Fix","Charles Page High School","Sand Springs",Oklahoma,133,2,2021
"Austin DeSanto","Exeter High School",Exeter,Pennsylvania,133,3,2021
"Michael McGee","Plainfield East High School",Bolingbrook,Illinois,133,4,2021
"Lucas Byrd","La Salle High School",Cincinnati,Ohio,133,5,2021
"Korbin Myers","Boiling Springs High School",Carlisle,Pennsylvania,133,6,2021
"Chris Cannon","Blair Academy High School",Oceanport,"New Jersey",133,7,2021
"Devan Turner","Dixon High School",Dixon,California,133,8,2021
"Nick Lee","Mater Dei High School",Evansville,Indiana,141,1,2021
"Kizhan Clarke","Riverview High School",Tampa,Florida,141,2,2021
"Sebastian Rivera","Christian Brothers Academy","Toms River","New Jersey",141,3,2021
"Grant Willits","Pueblo County High School",Pueblo,Colorado,141,4,2021
"Cole Matthews","Reynolds High School",Greenville,Pennsylvania,141,5,2021
"Real Woods","Montini Catholic High School",Albuquerque,"New Mexico",141,6,2021
"Jakob Bergeland","Centennial High School",Hugo,Minnesota,141,7,2021
"CJ Composto","Westfield High School",Westfield,"New Jersey",141,8,2021
"Yianni Diakomihalis","Hilton High School",Rochester,"New York",149,1,2021
"Ridge Lovett","Idaho State High School","Post Falls",Idaho,149,2,2021
"Bryce Andonian","St. Edward's High School",Kirtland,Ohio,149,3,2021
"Austin Gomez","Glenbard North High School","Carol Stream",Illinois,149,4,2021
"Sammy Sasso","Nazareth High School",Nazareth,Pennsylvania,149,5,2021
"Jonathan Millner","Ben L. Smith High School",Greensboro,"North Carolina",149,6,2021
"Tariq Wilson","Steubenville High School",Steubenville,Ohio,149,7,2021
"Kyle Parco","Fresno State High School",Danville,California,149,8,2021
"Ryan Deakin","Legacy High School",Broomfield,Colorado,157,1,2021
"Quincy Monday","Carrboro High School","Chapel Hill","North Carolina",157,2,2021
"David Carr","Perry High School",Canton,Ohio,157,3,2021
"Peyton Robb","Owatonna High School",Owatonna,Minnesota,157,4,2021
"Will Lewan","Montini Catholic High School",Chicago,Illinois,157,5,2021
"Jacori Teemer","Long Beach High School","Long Beach","New York",157,6,2021
"Hunter Willits","Pueblo County High School",Pueblo,Colorado,157,7,2021
"Austin O`Connor","St. Rita of Cascia High School",Lockport,Illinois,157,8,2021
"Keegan O`Toole","Arrowhead High School",Hartland,Wisconsin,165,1,2021
"Shane Griffith","Bergen Catholic High School",Westwood,"New Jersey",165,2,2021
"Evan Wick","San Marino High School (Wisconsin)","San Marino",California,165,3,2021
"Cameron Amine","Detroit Catholic Central High School",Brighton,Michigan,165,4,2021
"Alex Marinelli","St. Paris Graham High School",Miamisburg,Ohio,165,5,2021
"Dean Hamiti","Joliet Catholic Academy",Joliet,Illinois,165,6,2021
"Carson Kharchla","Olentangy Liberty High School",Powell,Ohio,165,7,2021
"Peyton Hall","Oak Glen High School",Chester,"West Virginia",165,8,2021
"Carter Starocci","Cathedral Preparatory School",Erie,Pennsylvania,174,1,2021
"Mekhi Lewis","Bound Brook High School",Somerset,"New Jersey",174,2,2021
"Hayden Hidlay","Mifflin County High School",Lewistown,Pennsylvania,174,3,2021
"Michael Kemerer","Franklin Regional High School",Murrysville,Pennsylvania,174,4,2021
"Logan Massa","St. Johns  High School","St. Johns",Michigan,174,5,2021
"Dustin Plott","Tuttle High School",Tuttle,Oklahoma,174,6,2021
"Mikey Labriola","Bethlehem Catholic High School",Easton,Pennsylvania,174,7,2021
"Clay Lautt","St. James Academy",Olathe,Kansas,174,8,2021
"Aaron Brooks","North Hagerstown High School",Hagerstown,Maryland,184,1,2021
"Myles Amine","Detroit Catholic Central High School",Brighton,Michigan,184,2,2021
"Parker Keckeisen","Nicolet High School",Glendale,Wisconsin,184,3,2021
"Bernie Truax","Rancho Buena Vista High School",Oceanside,California,184,4,2021
"Trent Hidlay","Mifflin County High School",Lewistown,Pennsylvania,184,5,2021
"Kaleb Romero","Mechanicsburg High School",Mechanicsburg,Ohio,184,6,2021
"Marcus Coleman","Ames High School",Ames,Iowa,184,7,2021
"Jonathan Loew","Wantagh High School",Wantagh,"New York",184,8,2021
"Max Dean","Lowell High School",Lowell,Michigan,197,1,2021
"Jacob Warner","Washington Community High School",Tolono,Illinois,197,2,2021
"Stephen Buchanan","Loyal High School",Loyal,Wisconsin,197,3,2021
"Rocky Elam","Staley High School","Kansas City",Missouri,197,4,2021
"Yonger Bastida",N/A,Trinidad,Cuba,197,5,2021
"Gavin Hoffman","Montoursville High School",Montoursville,Pennsylvania,197,6,2021
"Eric Schultz","Tinley Park High School","Tinley Park",Illinois,197,7,2021
"Greg Bulsak","South Park High School","South Park",Pennsylvania,197,8,2021
"Gable Steveson","Apple Valley High School","Apple Valley",Minnesota,285,1,2021
"Cohlton Schultz","Ponderosa High School",Parker,Colorado,285,2,2021
"Jordan Wood","Boyertown High School",Gilbertsville,Pennsylvania,285,3,2021
"Greg Kerkvliet","Simley High School","Inver Grove Heights",Minnesota,285,4,2021
"Mason Parris","Lawrenceburg High School",Lawrenceburg,Indiana,285,5,2021
"Lucas Davison","Chesterton High School",Chesterton,Indiana,285,6,2021
"Tony Cassioppi","Hononegah High School",Roscoe,Illinois,285,7,2021
"Christian Lance","Nixa High School",Nixa,Missouri,285,8,2021
