name,highSchool,town,state,weightClass,placement,year
"Spencer Lee","Frankin Regional High School",Murrysville,Pennsylvania,125,1,2020
"Brandon Courtney","Desert Edge High School",Goodyear,Arizona,125,2,2020
"Patrick McKee","St. Michael-Albertville High School","St. Michael",Minnesota,125,3,2020
"Drew Hildebrandt","Central Michigan High School",Granger,Indiana,125,4,2020
"Taylor LaMont","Maple Mountain High School",Mapleton,Utah,125,5,2020
"Sam Latona","Thompson High School",Alabaster,Alabama,125,6,2020
"Killian Cardinale","Brentsville District High School",Bristow,Virginia,125,7,2020
"Eric Barnett","Hortonville High School",Greenville,Wisconsin,125,8,2020
"Roman Bravo-Young","Sunnyside High School",Tucson,Arizona,133,1,2020
"Daton Fix","Charles Page High School","Sand Springs",Okalhoma,133,2,2020
"Austin DeSanto","Exeter High School",Exeter,Pennsylvania,133,3,2020
"Korbin Myers","Boiling Springs High School",Carlisle,Pennsylvania,133,4,2020
"Lucas Byrd","La Salle High School",Cincinnati,Ohio,133,5,2020
"Michael McGee","Plainfield East High School",Bolingbrook,Illinois,133,6,2020
"Chris Cannon","Blair Academy High School",Oceanport,"New Jersey",133,7,2020
"Louie Hayes","Carl Sandburg High School","Orland Park",Illinois,133,8,2020
"Nick Lee","Mater Dei High School",Evansville,Indiana,141,1,2020
"Jaydin Eierman","Father Tolton High School",Columbia,Missouri,141,2,2020
"Tariq Wilson","Steubenville High School",Steubenville,Ohio,141,3,2020
"Sebastian Rivera","Christian Brothers Academy","Toms River","New Jersey",141,4,2020
"Dylan Duncan","Montini Catholic High School",Winfield,Illinois,141,5,2020
"Chad Red","New Palestine High School",Indianapolis,Indiana,141,6,2020
"Zachary Sherman","Blair Academy",Peshtigo,Wisconsin,141,7,2020
"Clay Carlson","Willmar High School",Willmar,Minnesota,141,8,2020
"Austin O`Connor","St. Rita of Cascia High School",Lockport,Illinois,149,1,2020
"Sammy Sasso","Nazareth High School",Nazareth,Pennsylvania,149,2,2020
"Yahya Thomas","Mount Carmel High School",Chicago,Illinois,149,3,2020
"Boo Lewallen","Yukon High School",Yukon,Oklahoma,149,4,2020
"Brock Mauller","Father Tolton High School",Columbia,Missouri,149,5,2020
"Kyle Parco","Fresno State High School",Danville,California,149,6,2020
"Jaden Abas","Rancho Bernardo","San Diego",California,149,7,2020
"Jonathan Millner","Ben L. Smith High School",Greensboro,"North Carolina",149,8,2020
"David Carr","Perry High School",Canton,Ohio,157,1,2020
"Jesse Dellavecchia","East Eslip High School","Great River","New York",157,2,2020
"Ryan Deakin","Legacy High School",Broomfield,Colorado,157,3,2020
"Jacori Teemer","Long Beach High School","Long Beach","New York",157,4,2020
